Laser Wavelength (nm),Power (µW),PD OFF (mV),PD ON (V)
780.12,554.3,379,-4.12
781.121,531.9,377,-4.12
782.123,512.6,376,-4.11
783.122,495.2,372,-4.13
780.112,476.3,373,-4.11
780.122,456.7,370,-4.13
780.121,435.9,368,-4.11
780.121,413,368,-4.11
780.112,393.1,365,-4.12
780.124,374.7,363,-4.13
780.12,355.2,361,-4.11
780.112,338.4,358,-4.12
780.121,317.5,357,-4.12
780.12,295.1,355,-4.11
780.121,274.2,352,-4.12
780.12,255.9,350,-4.12
780.121,235.6,348,-4.1
780.119,214.7,344,-4.1
780.119,194.7,341,-4.08
780.12,175.3,338,-4.1
780.121,154.1,334,-4.09
780.12,134.5,330,-4.09
780.12,115.4,325,-4.08
780.12,95.53,320,-4.1
780.12,75.08,314,-3.72
780.12,55.03,305,-2.75
780.12,25.86,284,-1.3
780.124,20.63,280,-1.05
780.12,15.38,273,-0.77
780.12,10.02,262,-0.508
780.12,4.86,245,-0.256
780.12,2.432,223,-0.136
780.119,0.3117,75.9,-0.0336
NaN,0.00013,3,-0.0185
