,,Absorbance at 450 nm of Beta-gal assay buffer,,,
,,,pH,,
Time (s),3,5,7.5,9,10
0,0,0,0,0,0
10,0.001,-0.096,-0.166,0.024,0.010
20,0.001,-0.155,-0.142,0.036,0.035
30,0.003,-0.146,-0.115,0.047,0.048
40,0.001,0.014,-0.090,0.060,0.068
50,0.000,0.087,-0.063,0.074,0.088
60,0.002,0.102,-0.037,0.088,0.105
70,0.001,0.104,-0.012,0.102,0.123
80,0.000,0.104,0.015,0.115,0.146
90,0.000,0.016,0.042,0.131,0.160
100,0.001,0.113,0.069,0.144,0.182
110,0.001,0.124,0.097,0.159,0.203
120,0.000,0.133,0.124,0.174,0.216
